2013-12-09 21:39:05 status unpacked libisccc90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:05 install libisccfg90:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:05 status half-installed libisccfg90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:05 status unpacked libisccfg90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:05 status unpacked libisccfg90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:06 install libbind9-90:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:06 status half-installed libbind9-90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:06 status unpacked libbind9-90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:06 status unpacked libbind9-90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:06 install liblwres90:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:06 status half-installed liblwres90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:07 status unpacked liblwres90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:07 status unpacked liblwres90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:07 install sgml-base:all <none> 1.26+nmu4
2013-12-09 21:39:07 status half-installed sgml-base:all 1.26+nmu4
2013-12-09 21:39:07 status triggers-pending man-db:amd64 2.6.5-2
2013-12-09 21:39:08 status unpacked sgml-base:all 1.26+nmu4
2013-12-09 21:39:08 status unpacked sgml-base:all 1.26+nmu4
2013-12-09 21:39:08 install libc6-i686:i386 <none> 2.17-97
2013-12-09 21:39:08 status half-installed libc6-i686:i386 2.17-97
2013-12-09 21:39:09 status unpacked libc6-i686:i386 2.17-97
2013-12-09 21:39:09 status unpacked libc6-i686:i386 2.17-97
2013-12-09 21:39:09 install geoip-database:all <none> 20131118-1
2013-12-09 21:39:09 status half-installed geoip-database:all 20131118-1
2013-12-09 21:39:10 status unpacked geoip-database:all 20131118-1
2013-12-09 21:39:10 status unpacked geoip-database:all 20131118-1
2013-12-09 21:39:11 install xml-core:all <none> 0.13+nmu2
2013-12-09 21:39:11 status half-installed xml-core:all 0.13+nmu2
2013-12-09 21:39:11 status unpacked xml-core:all 0.13+nmu2
2013-12-09 21:39:11 status unpacked xml-core:all 0.13+nmu2
